La Fallera,https://www.lafallera.es,Arroz
La Familia,https://www.lafamilia.es,Pasta
La Lechera,https://www.lalechera.es,Lácteos
La Masía,https://www.lamasia.es,Alimentación
La Piara,https://www.lapiara.es,Patés
Lanjarón,https://www.lanjaron.com,Aguas
Larios,https://www.lariosgin.com,Ginebra
Lay's,https://www.lays.es,Snacks
Licor 43,https://www.licor43.com,Bebidas espirituosas
Ligeresa,https://www.ligeresa.es,Margarinas
Lindt,https://www.lindt.es,Chocolates
Lipton,https://www.lipton.com/es,Té
Listerine,https://www.listerine.es,Enjuague bucal
Macaronesian Gin,https://www.macaronesian.com,Ginebra
Maggi,https://www.maggi.es,Alimentación
Mahou,https://www.mahou.es,Cervezas
Malibu,https://www.malibu-rum.com,Ron
Marca,URL,Categoría
Marcilla,https://www.marcilla.com,Café
Martini,https://www.martini.com,Bebidas espirituosas
Martínez,https://www.martinez.es,Patés
Maxibon,https://www.maxibon.com,Helados
Milka,https://www.milka.es,Chocolates
Minute Maid,https://www.minutemaid.com,Bebidas
Mirinda,https://www.mirinda.com,Refrescos
Monster,https://www.monsterenergy.com,Bebidas energéticas
Moritz,https://www.moritz.com,Cervezas
Musa,https://www.musa.es,Salsas
Navidul,https://www.navidul.es,Embutidos
Nescafé,https://www.nescafe.es,Café
Nesquik,https://www.nesquik.es,Cacao en polvo
Nestea,https://www.nestea.es,Bebidas
Nestlé Bebé,https://www.nestlebebe.es,Alimentación infantil
Nestlé,https://www.nestle.es,Alimentación
Neutrogena,https://www.neutrogena.es,Cuidado personal
Nivea,https://www.nivea.es,Cuidado personal
Nocilla,https://www.nocilla.es,Untables
Noel,https://www.noel.es,Alimentación
Nomen,https://www.nomen.es,Arroz
Nutriben,https://www.nutriben.es,Alimentación infantil
Oikos,https://www.danone.es/oikos,Lácteos
Old El Paso,https://www.oldelpaso.es,Alimentación
Old Spice,https://www.oldspice.es,Cuidado personal
Oral-B,https://www.oralb.es,Higiene bucal
Orlando,https://www.orlando.es,Salsas
Ortiz,https://www.conservasortiz.com,Conservas
Ownat,https://www.ownat.com,Alimentación para mascotas
Palacios,https://www.palacios.es,Alimentación
Panrico,https://www.panrico.es,Panadería
Pantene,https://www.pantene.es,Cuidado capilar
Pascual,https://www.lechepascual.es,Lácteos
Pastas Romero,https://www.pastasromero.es,Pasta
Patrón,https://www.patronspirits.com,Tequila
Pepsi,https://www.pepsi.es,Refrescos
Pescanova,https://www.pescanova.es,Alimentación
Philadelphia,https://www.philadelphia.es,Untables
Pizza Dr. Oetker,https://www.oetker.es,Alimentación
Pompadour,https://www.pompadour.es,Café
Postres Reina,https://www.postresreina.es,Postres
Powerade,https://www.powerade.com,Bebidas isotónicas
Pringles,https://www.pringles.com/es,Snacks
Provamel,https://www.provamel.com/es,Alternativas vegetales
Puerto de Indias,https://www.puertodeindias.com,Ginebra
Puleva,https://www.puleva.es,Lácteos
Purina,https://www.purina.es,Alimentación para mascotas
Rana,https://www.rana.es,Pasta
Red Bull,https://www.redbull.com/es-es,Bebidas energéticas
Revilla,https://www.revilla.es,Embutidos
Rexona,https://www.rexona.com/es,Cuidado personal
Risi,https://www.risi.es,Snacks
Ron Barceló,https://ronbarcelo.com,Bebidas espirituosas
Ron Negrita,https://www.ronnegrita.com,Ron
Royal Canin,https://www.royalcanin.com/es,Alimentación para mascotas
Ruavieja,https://www.ruavieja.com,Bebidas espirituosas
Ruffles,https://www.ruffles.es,Snacks
SOS,https://www.sos-arroz.es,Arroz
Sambuca,https://www.sambuca.com,Bebidas espirituosas
San Miguel,https://www.sanmiguel.com,Cervezas
Sanex,https://www.sanex.es,Cuidado personal
Sauza,https://www.sauza.com,Tequila
Schweppes,https://www.schweppes.es,Refrescos
Scottex,https://www.scottex.es,Papel higiénico
Sensodyne,https://www.sensodyne.es,Higiene bucal
Signal,https://www.signal.es,Higiene bucal
Smirnoff,https://www.smirnoff.com,Vodka
Snatts,https://www.snatts.es,Snacks
Sojasun,https://www.sojasun.es,Alternativas vegetales
Solfrut,https://www.solfrut.es,Bebidas
Solán de Cabras,https://www.solandecabras.es,Aguas
Solís,https://www.solis.es,Salsas
Sprite,https://www.sprite.com,Refrescos
Suavinex,https://www.suavinex.com,Artículos para bebés
Takis,https://www.takis.es,Snacks
Tanqueray,https://www.tanqueray.com,Ginebra
Tassimo,https://www.tassimo.es,Café
Tequila José Cuervo,https://www.cuervo.com,Tequila
Tosfrit,https://www.tosfrit.com,Snacks
Trapa,https://www.trapa.es,Chocolates
Trina,https://www.trina.es,Refrescos
Tropicana,https://www.tropicana.com,Bebidas
Tulipán,https://www.tulipan.es,Margarinas
Tía María,https://www.tiamaria.com,Bebidas espirituosas
Tónica Schweppes,https://www.schweppes.es,Refrescos
Valor,https://www.valor.es,Chocolates
Velarte,https://www.velarte.com,Snacks
Vidal,https://www.vidal.es,Conservas
Vitalinea,https://www.danone.es/vitalinea,Lácteos
Voll-Damm,https://www.voll-damm.com,Cervezas
Ybarra,https://www.ybarra.es,Alimentación
YoSoy,https://www.yosoy.es,Alternativas vegetales
Yoplait,https://www.yoplait.es,Lácteos
Zico,https://www.zico.com,Bebidas
Capri-Sun,https://www.capri-sun.com,Bebidas
Del Valle,https://www.delvalle.com,Bebidas
Don Simón,https://www.donsimon.com,Bebidas
Frubis,https://www.frubis.es,Bebidas
Granini,https://www.granini.es,Bebidas
Hero,https://www.hero.es,Bebidas
Jumex,https://www.jumex.com,Bebidas
Juver,https://www.juver.es,Bebidas
Minute Maid,https://www.minutemaid.com,Bebidas
Puleva,https://www.puleva.es,Bebidas
Solfrut,https://www.solfrut.es,Bebidas
Tropicana,https://www.tropicana.com,Bebidas
Carbonell,https://www.carbonell.es,Aceites
Ybarra,https://www.ybarra.es,Aceites
Koipe,https://www.koipe.es,Aceites
Coosur,https://www.coosur.es,Aceites
La Española,https://www.laespanola.es,Aceites
Hojiblanca,https://www.hojiblanca.es,Aceites
Borges,https://www.borges.es,Aceites
Oleoestepa,https://www.oleoestepa.es,Aceites
Castillo de Canena,https://www.castillodecanena.com,Aceites
Mueloliva,https://www.mueloliva.es,Aceites
Oro del Desierto,https://www.orodeldesierto.com,Aceites
La Masía,https://www.lamasia.es,Aceites
Hacendado,https://www.mercadona.es/,Aceites
Ybarra,https://www.ybarra.es,Vinagres
Carbonell,https://www.carbonell.es,Vinagres
La Masía,https://www.lamasia.es,Vinagres
Hacendado,https://www.mercadona.es/,Vinagres
La Fina,https://www.sal-lafina.es,Sal
Maldon,https://www.maldonsalt.co.uk,Sal
Cushe,https://www.cushe.es,Sal
Hacendado,https://www.mercadona.es/,Sal
Azucarera,https://www.azucarera.es,Azúcar
Ebro,https://www.ebro.es,Azúcar
Hacendado,https://www.mercadona.es/,Azúcar
Gallo,https://www.pastasgallo.es,Harina
El Amasadero,https://www.elamasadero.com,Harina
Hacendado,https://www.mercadona.es/,Harina
Asturiana,https://www.centrallecheraasturiana.es,Lácteos
Puleva,https://www.puleva.es,Lácteos
Pascual,https://www.lechepascual.es,Lácteos
Kaiku,https://www.kaiku.es,Lácteos
Clesa,https://www.clesa.es,Lácteos
Lauki,https://www.lauki.es,Lácteos
Hacendado,https://www.mercadona.es/,Lácteos
Danone,https://www.danone.es,Lácteos
Yoplait,https://www.yoplait.es,Lácteos
Nestlé,https://www.nestle.es,Lácteos
Hacendado,https://www.mercadona.es/,Lácteos
Lurpak,https://www.lurpak.com,Mantequilla
President,https://www.president.es,Mantequilla
Flora,https://www.flora.es,Mantequilla
Hacendado,https://www.mercadona.es/,Mantequilla
El Caserío,https://www.elcaserio.es,Quesos
La Vaca que Ríe,https://www.lavacaquerie.es,Quesos
Philadelphia,https://www.philadelphia.es,Quesos
Hacendado,https://www.mercadona.es/,Quesos
El Pozo,https://www.elpozo.com,Embutidos
Campofrío,https://www.campofrio.es,Embutidos
Navidul,https://www.navidul.es,Embutidos
Revilla,https://www.revilla.es,Embutidos
Hacendado,https://www.mercadona.es/,Embutidos
El Pozo,https://www.elpozo.com,Embutidos
Campofrío,https://www.campofrio.es,Embutidos
Navidul,https://www.navidul.es,Embutidos
Revilla,https://www.revilla.es,Embutidos
Hacendado,https://www.mercadona.es/,Embutidos
El Pozo,https://www.elpozo.com,Embutidos
Campofrío,https://www.campofrio.es,Embutidos
Navidul,https://www.navidul.es,Embutidos
Revilla,https://www.revilla.es,Embutidos
Hacendado,https://www.mercadona.es/,Embutidos
El Pozo,https://www.elpozo.com,Alimentación
Campofrío,https://www.campofrio.es,Alimentación
Hacendado,https://www.mercadona.es/,Alimentación
El Pozo,https://www.elpozo.com,Alimentación
Campofrío,https://www.campofrio.es,Alimentación
Hacendado,https://www.mercadona.es/,Alimentación
Calvo,https://www.calvo.es,Conservas
Isabel,https://www.isabel.net,Conservas
Ortiz,https://www.conservasortiz.com,Conservas
Hacendado,https://www.mercadona.es/,Conservas
Calvo,https://www.calvo.es,Conservas
Isabel,https://www.isabel.net,Conservas
Ortiz,https://www.conservasortiz.com,Conservas
Hacendado,https://www.mercadona.es/,Conservas
Calvo,https://www.calvo.es,Conservas
Ortiz,https://www.conservasortiz.com,Conservas
Hacendado,https://www.mercadona.es/,Conservas
Calvo,https://www.calvo.es,Conservas
Ortiz,https://www.conservasortiz.com,Conservas
Hacendado,https://www.mercadona.es/,Conservas
Hacendado,https://www.mercadona.es/,Conservas
Orlando,https://www.orlando.es,Conservas
Solís,https://www.solis.es,Conservas
La Masía,https://www.lamasia.es,Conservas
Hacendado,https://www.mercadona.es/,Conservas
Orlando,https://www.orlando.es,Conservas
Solís,https://www.solis.es,Conservas
La Masía,https://www.lamasia.es,Conservas
Gallo,https://www.pastasgallo.es,Pasta
Barilla,https://www.barilla.com/es-es,Pasta
La Familia,https://www.lafamilia.es,Pasta
El Pavo,https://www.elpavo.es,Pasta
Hacendado,https://www.mercadona.es/,Pasta
SOS,https://www.sos-arroz.es,Arroz
La Fallera,https://www.lafallera.es,Arroz
Brillante,https://www.brillante.es,Arroz
Nomen,https://www.nomen.es,Arroz
Hacendado,https://www.mercadona.es/,Arroz
Bimbo,https://www.bimbo.es,Panadería
Panrico,https://www.panrico.es,Panadería
Hacendado,https://www.mercadona.es/,Panadería
Fontaneda,https://www.fontaneda.es,Galletas
Gullón,https://www.gullon.es,Galletas
Cuétara,https://www.cuetara.es,Galletas
Hacendado,https://www.mercadona.es/,Galletas
Kellogg's,https://www.kelloggs.es,Cereales
Nestlé,https://www.nestle.es,Cereales
Hacendado,https://www.mercadona.es/,Cereales
Valor,https://www.valor.es,Chocolates
Trapa,https://www.trapa.es,Chocolates
Lindt,https://www.lindt.es,Chocolates
Milka,https://www.milka.es,Chocolates
Kinder,https://www.kinder.es,Chocolates
Nestlé,https://www.nestle.es,Chocolates
Hacendado,https://www.mercadona.es/,Chocolates
Häagen-Dazs,https://www.haagen-dazs.es,Helados
Ben & Jerry's,https://www.benjerry.es,Helados
Nestlé,https://www.nestle.es,Helados
Hacendado,https://www.mercadona.es/,Helados
Haribo,https://www.haribo.com,Golosinas
Fini,https://www.finicandy.com,Golosinas
Hacendado,https://www.mercadona.es/,Golosinas
Lay's,https://www.lays.es,Snacks
Pringles,https://www.pringles.com/es,Snacks
Doritos,https://www.doritos.es,Snacks
Cheetos,https://www.cheetos.es,Snacks
Ruffles,https://www.ruffles.es,Snacks
Grefusa,https://grefusa.com,Snacks
Risi,https://www.risi.es,Snacks
Takis,https://www.takis.es,Snacks
Hacendado,https://www.mercadona.es/,Snacks
Ariel,https://www.ariel.es,Detergentes
Fairy,https://www.fairy.es,Detergentes
Hacendado,https://www.mercadona.es/,Detergentes
Hacendado,https://www.mercadona.es/,Suavizantes
Scottex,https://www.scottex.es,Papel higiénico
Colhogar,https://www.colhogar.es,Papel higiénico
Hacendado,https://www.mercadona.es/,Papel higiénico
Dodot,https://www.dodot.es,Pañales
Huggies,https://www.huggies.es,Pañales
Hacendado,https://www.mercadona.es/,Pañales
Pantene,https://www.pantene.es,Cuidado capilar
H&S,https://www.headandshoulders.es,Cuidado capilar
Hacendado,https://www.mercadona.es/,Cuidado capilar
Dove,https://www.dove.com/es,Cuidado personal
Sanex,https://www.sanex.es,Cuidado personal
Hacendado,https://www.mercadona.es/,Cuidado personal
Rexona,https://www.rexona.com/es,Cuidado personal
Old Spice,https://www.oldspice.es,Cuidado personal
Hacendado,https://www.mercadona.es/,Cuidado personal
Nivea,https://www.nivea.es,Cuidado personal
Neutrogena,https://www.neutrogena.es,Cuidado personal
Hacendado,https://www.mercadona.es/,Cuidado personal
Colgate,https://www.colgate.es,Higiene bucal
Oral-B,https://www.oralb.es,Higiene bucal
Signal,https://www.signal.es,Higiene bucal
Sensodyne,https://www.sensodyne.es,Higiene bucal
Listerine,https://www.listerine.es,Enjuague bucal
Hacendado,https://www.mercadona.es/,Enjuague bucal
Gillette,https://www.gillette.es,Afeitado
Hacendado,https://www.mercadona.es/,Afeitado
Durex,https://www.durex.es,Preservativos
Hacendado,https://www.mercadona.es/,Preservativos
Evax,https://www.evax.es,Higiene femenina
Hacendado,https://www.mercadona.es/,Higiene femenina
Finish,https://www.finish.es,Lavavajillas
Hacendado,https://www.mercadona.es/,Lavavajillas
KH7,https://www.kh7.es,Limpiadores
Hacendado,https://www.mercadona.es/,Limpiadores
Advance,https://www.advance-affinity.com,Alimentación para mascotas
Purina,https://www.purina.es,Alimentación para mascotas
Royal Canin,https://www.royalcanin.com/es,Alimentación para mascotas
Hill's,https://www.hillspet.es,Alimentación para mascotas
Ownat,https://www.ownat.com,Alimentación para mascotas
Dogfy,https://www.dogfy.com,Alimentación para mascotas
Food For Joe,https://www.foodforjoe.es,Alimentación para mascotas
Hacendado,https://www.mercadona.es/,Alimentación para mascotas
Suavinex,https://www.suavinex.com,Artículos para bebés
Hacendado,https://www.mercadona.es/,Artículos para bebés
Nestlé Bebé,https://www.nestlebebe.es,Alimentación infantil
Nutriben,https://www.nutriben.es,Alimentación infantil
Hacendado,https://www.mercadona.es/,Alimentación infantil
Marqués de Riscal,https://www.marquesderiscal.com,Vinos
Marqués de Cáceres,https://www.marquesdecaceres.com,Vinos
Torres,https://www.torres.es,Vinos
Freixenet,https://www.freixenet.com,Vinos
Codorníu,https://www.codorniu.com,Vinos
Cava,https://www.cava.es,Vinos
La Rioja Alta,https://www.riojalta.com,Vinos
CVNE,https://www.cvne.com,Vinos
Faustino,https://www.faustino.es,Vinos
Campo Viejo,https://www.campoviejo.com,Vinos
Beronia,https://www.beronia.com,Vinos
Ramón Bilbao,https://www.ramonbilbao.com,Vinos
Protos,https://www.protos.es,Vinos
Pesquera,https://www.pesquera.es,Vinos
Vega Sicilia,https://www.vegasicilia.com,Vinos
Osborne,https://www.osborne.es,Vinos
Domecq,https://www.domecq.es,Vinos
González Byass,https://www.gonzalezbyass.com,Vinos
Sandeman,https://www.sandeman.com,Vinos
Lustau,https://www.lustau.es,Vinos
La Ina,https://www.laina.es,Vinos
La Gitana,https://www.lagitana.es,Vinos
Fino,https://www.fino.es,Vinos
Manzanilla,https://www.manzanilla.es,Vinos
Amontillado,https://www.amontillado.es,Vinos
Oloroso,https://www.oloroso.es,Vinos
Pedro Ximénez,https://www.pedroximenez.es,Vinos
Cream,https://www.cream.es,Vinos
Palo Cortado,https://www.palocortado.es,Vinos
Moscatel,https://www.moscatel.es,Vinos
Marqués de Murrieta,https://www.marquesdemurrieta.com,Vinos
