brand_name,URL
Fontaneda,https://www.fontaneda.es
Food For Joe,https://www.foodforjoe.es
Frangelico,https://www.frangelico.com
Freixenet,https://www.freixenet.com
Frinsa,https://www.frinsa.es
Frit Ravich,https://www.fritravich.com
Frubis,https://www.frubis.es
Gallina Blanca,https://www.gallinablanca.es
Gallo,https://www.pastasgallo.es
García Millán,https://www.garciamillan.es/
Garnier,https://www.garnier.es
Gatorade,https://www.gatorade.com
Gillette,https://www.gillette.es
González Byass,https://www.gonzalezbyass.com
Gordon's,https://www.gordons-gin.com
Grand Marnier,https://www.grandmarnier.com
Granini,https://www.granini.es
Grefusa,https://grefusa.com
Guinness,https://www.guinness.com
Gullón,https://www.gullon.es
Gvtarra,https://www.gvtarra.com
H&S,https://www.headandshoulders.es
Häagen-Dazs,https://www.haagen-dazs.es
Hacendado,https://www.mercadona.es/
Haribo,https://www.haribo.com
Havana Club,https://www.havana-club.com
Heineken,https://www.heineken.es
Heinz,https://www.heinz.es
Helios,https://www.helios.es
Hellmann's,https://www.hellmanns.es
Hero,https://www.hero.es
Hida,https://www.hida.es
Hill's,https://www.hillspet.es
Hohes C,https://www.hohesc.es
Hojiblanca,https://www.hojiblanca.es
Huggies,https://www.huggies.es
Instituto Español,https://www.institutoespanol.com
Isabel,https://www.isabel.net
Isostar,https://www.isostar.com
Jack Daniel's,https://www.jackdaniels.com
Jägermeister,https://www.jagermeister.com
Jameson,https://www.jamesonwhiskey.com
Johnnie Walker,https://www.johnniewalker.com
Jumex,https://www.jumex.com
Jumpers,https://www.jumpers.es
Juver,https://www.juver.es
Kahlúa,https://www.kahlua.com
Kaiku,https://www.kaiku.es
Kaiku Caffè Latte,https://www.kaikucaffelatte.com
KAS,https://www.kas.es
Kellogg's,https://www.kelloggs.es
KH7,https://www.kh7.es
Kinder,https://www.kinder.es
Knorr,https://www.knorr.es
Koipe,https://www.koipe.es
L'Or Espresso,https://www.lorespresso.com
L'Oréal,https://www.loreal.es
La Bella Easo,https://www.labellaeaso.es
La Casera,https://www.lacasera.es
La Cigala,https://www.lacigala.es
La Cocinera,https://www.lacocinera.es
La Española,https://www.laespanola.es
La Fallera,https://www.lafallera.es
La Familia,https://www.lafamilia.es
La Fina,https://www.sal-lafina.es
La Gitana,https://www.lagitana.es
La Ina,https://www.laina.es
La Lechera,https://www.lalechera.es
La Masía,https://www.lamasia.es
La Piara,https://www.lapiara.es
La Rioja Alta,https://www.riojalta.com
La Vaca que Ríe,https://www.lavacaquerie.es
Lanjarón,https://www.lanjaron.com
Larios,https://www.lariosgin.com
Lauki,https://www.lauki.es
Lay's,https://www.lays.es
Licor 43,https://www.licor43.com
Ligeresa,https://www.ligeresa.es
Lindt,https://www.lindt.es
Lipton,https://www.lipton.com/es
Listerine,https://www.listerine.es
Lurpak,https://www.lurpak.com
Lustau,https://www.lustau.es
Macaronesian Gin,https://www.macaronesian.com
Maggi,https://www.maggi.es
Mahou,https://www.mahou.es
Maldon,https://www.maldonsalt.co.uk
Malibu,https://www.malibu-rum.com
Manzanilla,https://www.manzanilla.es
Marcilla,https://www.marcilla.com
Marqués de Cáceres,https://www.marquesdecaceres.com
Marqués de Murrieta,https://www.marquesdemurrieta.com
Marqués de Riscal,https://www.marquesderiscal.com
Martínez,https://www.martinez.es
Martini,https://www.martini.com
Maxibon,https://www.maxibon.com
Milka,https://www.milka.es
Minute Maid,https://www.minutemaid.com
Mirinda,https://www.mirinda.com
Monster,https://www.monsterenergy.com
Moritz,https://www.moritz.com
Moscatel,https://www.moscatel.es
Mueloliva,https://www.mueloliva.es
Musa,https://www.musa.es
Navidul,https://www.navidul.es
Nescafé,https://www.nescafe.es
Nesquik,https://www.nesquik.es
Nestea,https://www.nestea.es
Nestlé,https://www.nestle.es
Nestlé Bebé,https://www.nestlebebe.es
Neutrogena,https://www.neutrogena.es
Nivea,https://www.nivea.es
Nocilla,https://www.nocilla.es
Noel,https://www.noel.es
Nomen,https://www.nomen.es
Nutriben,https://www.nutriben.es
Oikos,https://www.danone.es/oikos
Old El Paso,https://www.oldelpaso.es
Old Spice,https://www.oldspice.es
Oleoestepa,https://www.oleoestepa.es
Oloroso,https://www.oloroso.es
Oral-B,https://www.oralb.es
Orlando,https://www.orlando.es
Oro del Desierto,https://www.orodeldesierto.com
Ortiz,https://www.conservasortiz.com
Osborne,https://www.osborne.es
Ownat,https://www.ownat.com
Palacios,https://www.palacios.es
Palo Cortado,https://www.palocortado.es
Panrico,https://www.panrico.es
Pantene,https://www.pantene.es
Pascual,https://www.lechepascual.es
Pastas Romero,https://www.pastasromero.es
Patrón,https://www.patronspirits.com
Pedro Ximénez,https://www.pedroximenez.es
Pepsi,https://www.pepsi.es
Pescanova,https://www.pescanova.es
Pesquera,https://www.pesquera.es
Philadelphia,https://www.philadelphia.es
Pompadour,https://www.pompadour.es
Postres Reina,https://www.postresreina.es
Powerade,https://www.powerade.com
President,https://www.president.es
Pringles,https://www.pringles.com/es
Protos,https://www.protos.es
Provamel,https://www.provamel.com/es
Puerto de Indias,https://www.puertodeindias.com
Puleva,https://www.puleva.es
Purina,https://www.purina.es
Ramón Bilbao,https://www.ramonbilbao.com
Rana,https://www.rana.es
Red Bull,https://www.redbull.com/es-es
Revilla,https://www.revilla.es
Rexona,https://www.rexona.com/es
Risi,https://www.risi.es
Ron Barceló,https://ronbarcelo.com
Ron Negrita,https://www.ronnegrita.com
Royal Canin,https://www.royalcanin.com/es
Ruavieja,https://www.ruavieja.com
Ruffles,https://www.ruffles.es
Sambuca,https://www.sambuca.com
San Miguel,https://www.sanmiguel.com
Sandeman,https://www.sandeman.com
Sanex,https://www.sanex.es
Sauza,https://www.sauza.com
Schweppes,https://www.schweppes.es
Scottex,https://www.scottex.es
Sensodyne,https://www.sensodyne.es
Signal,https://www.signal.es
Smirnoff,https://www.smirnoff.com
Snatts,https://www.snatts.es
Sojasun,https://www.sojasun.es
Solán de Cabras,https://www.solandecabras.es
Solfrut,https://www.solfrut.es
Solís,https://www.solis.es
SOS,https://www.sos-arroz.es
Sprite,https://www.sprite.com
Takis,https://www.takis.es
Tanqueray,https://www.tanqueray.com
Tassimo,https://www.tassimo.es
Tequila José Cuervo,https://www.cuervo.com
Tía María,https://www.tiamaria.com
Tónica Schweppes,https://www.schweppes.es
Torres,https://www.torres.es
Tosfrit,https://www.tosfrit.com
Trapa,https://www.trapa.es
Trina,https://www.trina.es
Tropicana,https://www.tropicana.com
Tulipán,https://www.tulipan.es
Valor,https://www.valor.es
Vega Sicilia,https://www.vegasicilia.com
Velarte,https://www.velarte.com
Vidal,https://www.vidal.es
Vitalinea,https://www.danone.es/vitalinea
Voll-Damm,https://www.voll-damm.com
Ybarra,https://www.ybarra.es
Yoplait,https://www.yoplait.es
YoSoy,https://www.yosoy.es
Zico,https://www.zico.com
